Listing URL,Location name,Host name,Address,Phone number,Reviews count,Website
https://www.eventective.com/birmingham-al/the-hive-724309.html,The Hive,,1006 20th Street South Birmingham AL,205-201-8518,,https://www.thehivebham.com/
https://www.eventective.com/birmingham-al/concordia-banquet-hall-dance-club-667005.html,Concordia Banquet Hall & Dance Club,,3400 First Avenue North Birmingham AL,205-218-3702,,https://www.concordiaclub.org/
https://www.eventective.com/birmingham-al/soir%C3%A9e-event-gallery-675770.html,Soirée Event Gallery,,2132 Lorna Ridge Ln Birmingham AL,205-783-5228,,https://eventsatsoiree.com/
https://www.eventective.com/birmingham-al/the-harbert-center-676759.html,The Harbert Center,,2019 4th Avenue North Birmingham AL,205-226-8800,,https://www.theharbertcenter.com/
https://www.eventective.com/birmingham-al/park-crest-event-facility-172278.html,Park Crest Event Facility,,2030 Little Valley Rd Birmingham AL,205-822-7275,,https://www.parkcrestevents.com/
https://www.eventective.com/birmingham-al/the-wine-loft-604970.html,The Wine Loft,,2200 1st Avenue North Birmingham AL,205-213-2031,,https://wineloftbham.com/
https://www.eventective.com/birmingham-al/tj-tower-events-714526.html,TJ Tower Events,,1623 2nd Ave N Birmingham AL,205-518-0794,,https://www.tjtowerevents.com/
https://www.eventective.com/bessemer-al/the-venues-at-watermark-place-567976.html,The Venues at WaterMark Place,,4500 Katie's Way Suite 165 B Bessemer AL,205-425-4529,,https://www.watermarkplaceal.com/
https://www.eventective.com/pelham-al/destined-events-719714.html,Destined Events,,2969 Pelham Pkwy. Ste Y Pelham AL,205-564-2307,,http://www.destinedevents.net/
https://www.eventective.com/oneonta-al/ryan-acres-710822.html,Ryan Acres,,3266 County Highway 12 Oneonta AL,615-390-2784,,https://www.ryanacres.com/
https://www.eventective.com/birmingham-al/jazzi-s-on-3rd-music-gallery-662950.html,Jazzi's on 3rd Music Gallery,,1725 3rd Avenue North Birmingham AL,205-321-6233,,https://www.jazzison3rd.com/
https://www.eventective.com/birmingham-al/east-59-cafe-726380.html,East 59 Cafe,,701 Doug Baker Boulevard Suite 103 Birmingham AL,205-613-8023,,https://www.east59.net/
https://www.eventective.com/hayden-al/blount-springs-chapel-387041.html,Blount Springs Chapel,,81 Blount Springs Ave. Hayden AL,,,https://sites.google.com/blountsprings.com/blount-springs-chapel/home
https://www.eventective.com/chelsea-al/cat-n-bird-winery-688827.html,Cat-n-Bird Winery,,11661 Old Highway 280 Chelsea AL,205-610-9463,,https://cat-n-bird.com/
https://www.eventective.com/birmingham-al/the-donnelly-house-630254.html,The Donnelly House,,2838 Highland Avenue South Birmingham AL,None,,http://thedonnellyhouse.com/
https://www.eventective.com/birmingham-al/inverness-country-club-590500.html,Inverness Country Club,,1 Country Club Dr Birmingham AL,None,,https://www.iccalabama.com/
https://www.eventective.com/birmingham-al/swann-lake-stables-702605.html,Swann Lake Stables,,4291 Sicard Hollow Rd Birmingham AL,None,,https://swannlakestables.com/
https://www.eventective.com/birmingham-al/clubhouse-on-highland-589571.html,Clubhouse on Highland,,2908 Highland Avenue South Birmingham AL,None,,http://clubhouseonhighland.com/
https://www.eventective.com/birmingham-al/days-inn-by-wyndham-birmingham-vestavia-hills-561270.html,Days Inn by Wyndham Birmingham Vestavia Hills,,1485 Montgomery Hwy I-65 Exit # 252 Birmingham AL,None,,https://www.wyndhamhotels.com/days-inn/birmingham-alabama/days-inn-birmingham-al/overview
https://www.eventective.com/birmingham-al/courtyard-birmingham-homewood-50739.html,Courtyard Birmingham Homewood,,500 Shades Creek Parkway Birmingham AL,None,,https://www.marriott.com/hotels/travel/bhmhw-courtyard-birmingham-homewood
https://www.eventective.com/birmingham-al/hoover-randle-home-gardens-664557.html,Hoover-Randle Home & Gardens,,2255 Tyler Road Birmingham AL,None,,https://www.hooverrandlehome.com/
https://www.eventective.com/birmingham-al/hyatt-regency-birmingham-the-wynfrey-hotel-340.html,Hyatt Regency Birmingham-The Wynfrey Hotel,,1000 Riverchase Galleria Birmingham AL,None,,https://www.hyatt.com/en-US/hotel/alabama/hyatt-regency-birmingham-the-wynfrey-hotel/bhmhr
https://www.eventective.com/birmingham-al/hassinger-daniels-mansion-bed-and-breakfast-604937.html,Hassinger Daniels Mansion Bed and Breakfast,,2028 Highland Ave South Birmingham AL,None,,https://birminghambandb.com/events/
https://www.eventective.com/birmingham-al/city-club-birmingham-117451.html,City Club Birmingham,,1901 6th Avenue North Suite 3100 Birmingham AL,None,,https://www.clubcorp.com/Clubs/City-Club-Birmingham
https://www.eventective.com/birmingham-al/hilton-birmingham-perimeter-park-332.html,Hilton Birmingham Perimeter Park,,8 Perimeter Park S Birmingham AL,None,,https://www.hilton.com/en/hotels/bhmprdt-doubletree-birmingham-perimeter-park/
https://www.eventective.com/birmingham-al/fred-astaire-dance-studio-725445.html,Fred Astaire Dance Studio,,5510 Hwy 280 Suite 210 Birmingham AL,None,,https://www.fredastaire.com/birmingham/
https://www.eventective.com/birmingham-al/mcwane-science-center-87930.html,McWane Science Center,,200 19th St N Birmingham AL,None,,https://www.mcwane.org/
https://www.eventective.com/birmingham-al/southern-museum-of-flight-166493.html,Southern Museum Of Flight,,4343 73rd St North Birmingham AL,None,,https://southernmuseumofflight.org/facilities-rental/
https://www.eventective.com/birmingham-al/fleming-s-prime-steakhouse-wine-bar-88404.html,Fleming's Prime Steakhouse & Wine Bar,,103 Summit Blvd Birmingham AL,None,,https://www.flemingssteakhouse.com/
https://www.eventective.com/birmingham-al/tuxedo-ballroom-685844.html,Tuxedo Ballroom,,2001 Avenue D Birmingham AL,None,,http://ensleyentertainmentdistrict.com/
https://www.eventective.com/birmingham-al/holiday-inn-birmingham-hoover-519632.html,Holiday Inn Birmingham - Hoover,,2901 John Hawkins Pkwy Birmingham AL,None,,https://www.ihg.com/holidayinn/hotels/us/en/hoover/bhmgb/hoteldetail
https://www.eventective.com/birmingham-al/ocean-88321.html,Ocean,,1218 20th St S Birmingham AL,None,,http://www.oceanbirmingham.com/private-parties/
https://www.eventective.com/birmingham-al/the-comedy-club-stardome-theater-88046.html,The Comedy Club Stardome Theater,,1818 Data Dr Birmingham AL,None,,https://www.stardome.com/
https://www.eventective.com/birmingham-al/doubletree-by-hilton-hotel-birmingham-256.html,DoubleTree by Hilton Hotel Birmingham,,808 20th St S Birmingham AL,None,,http://dasbevo.com/
https://www.eventective.com/pelham-al/cahaba-valley-elks-lodge-712689.html,Cahaba Valley Elks Lodge,,1738 Morgan Park Road Pelham Alabama Pelham AL,205-529-8814,,https://www.facebook.com/elkslodge1738/
https://www.eventective.com/bessemer-al/majesty-lounge-716220.html,Majesty Lounge,,1400 9th Avenue N Ste 120 Bessemer AL,None,,http://www.majesty-lounge.com/#/
https://www.eventective.com/gardendale-al/wilson-s-wedding-chapel-68814.html,Wilson's Wedding Chapel,,1328 Main Street Gardendale AL,None,,https://www.wilsonsflorist.com/
https://www.eventective.com/wilsonville-al/blackberry-lane-farm-666049.html,Blackberry Lane Farm,,6491 Hwy. 51 Wilsonville AL,None,,https://blackberrylanefarmblog.wordpress.com/
https://www.eventective.com/bessemer-al/woodward-golf-country-club-697893.html,Woodward Golf & Country Club,,2141 Wheel Dr Bessemer AL,None,,https://www.golfwoodward.com/
https://www.eventective.com/westover-al/camelot-manor-705776.html,Camelot Manor,,9481 Co Rd 55 Westover AL,None,,https://www.camelotmanor.net/
https://www.eventective.com/gardendale-al/the-wherehouse-688579.html,The Wherehouse,,3086 Decatur Hwy Gardendale AL,None,,http://www.greatamericantent.com/hall
https://www.eventective.com/birmingham-al/hampton-inn-suites-birmingham-downtown-tutwiler-339.html,Hampton Inn & Suites Birmingham-Downtown-Tutwiler,,2021 Park Place Birmingham AL,None,,https://www.hilton.com/en/hotels/bhmdnhx-hampton-suites-birmingham-downtown-tutwiler/
https://www.eventective.com/birmingham-al/b-a-warehouse-688828.html,B & A Warehouse,,1531 1st Ave S Birmingham AL,None,,https://www.bawarehouse.com/venues/
https://www.eventective.com/birmingham-al/renaissance-birmingham-ross-bridge-golf-resort-spa-615688.html,Renaissance Birmingham Ross Bridge Golf Resort & Spa,,4000 Grand Avenue Birmingham AL,None,,https://www.marriott.com/hotels/travel/bhmhv-renaissance-birmingham-ross-bridge-golf-resort-and-spa
https://www.eventective.com/birmingham-al/courtyard-birmingham-downtown-at-uab-50843.html,Courtyard Birmingham Downtown At UAB,,1820 5th Avenue South Birmingham AL,None,,https://www.marriott.com/hotels/travel/bhmdw-courtyard-birmingham-downtown-at-uab/
https://www.eventective.com/birmingham-al/riverchase-country-club-600808.html,Riverchase Country Club,,2000 Club Road Birmingham AL,None,,https://riverchasecc.com/home
