Link,Location Name,Host Name,Address,Phone Number,Review Count
https://www.splacer.co/venue/lounge-events-meetings-parties?sponsored=true,"Lounge, events, meetings, parties New York | MelroseStarting From$75per hour",Daybelis,New York | Melrose,,0
https://www.splacer.co/venue/exposed-brick-multi-use-event-space?sponsored=true,Exposed brick Multi-use Event SpaceNew York | Lower ManhattanStarting From$150per hour,Takashi,New York | Lower Manhattan,,25
https://www.splacer.co/venue/enormous-and-chic-soho-loft?sponsored=true,Enormous and Chic Soho Loft New York | ManhattanStarting From$250per hour,Josh,New York | Manhattan,,0
https://www.splacer.co/venue/penthouse-duplex-rooftop-skyline-views,Penthouse Duplex  + Rooftop Skyline viewsNew York | GreenpointStarting From$375per hour,Eduard,New York | Greenpoint,,1
https://www.splacer.co/venue/fantastic-photography-studio-w-view,Fantastic photography studio w/ view New York | MidtownStarting From$100per hour,Joerg,New York | Midtown,,17
https://www.splacer.co/venue/infinity-wall-studio-boutique-r-car-ramp,Infinity Wall Studio/Boutique R /CAR RAMPNew York | Long Island CityStarting From$60per hour,Sergio,New York | Long Island City,,34
https://www.splacer.co/venue/speakeasy-cabaret-lower-east-side,Speakeasy Cabaret-Lower East SideNew York | Lower ManhattanStarting From$288per hour,Lori,New York | Lower Manhattan,,18
https://www.splacer.co/venue/unique-artsy-apartment-with-a-view,Unique & Artsy Apartment with a VIEW New York | ManhattanStarting From$70per hour,Sofia,New York | Manhattan,,10
https://www.splacer.co/venue/theater-with-exposed-brick-chandeliers,Theater with Exposed Brick & ChandeliersNew York | East WilliamsburgStarting From$35per hour,Genny,New York | East Williamsburg,,6
https://www.splacer.co/venue/street-art-inspired-unique-private-space,Street Art-Inspired Unique Private SpaceNew York | East WilliamsburgStarting From$200per hour,Kayla,New York | East Williamsburg,,5
https://www.splacer.co/venue/modern-sunny-and-spacious-studio,"Modern, sunny, and spacious studio! New York | Mott HavenStarting From$50per hour",Casimar,New York | Mott Haven,,2
https://www.splacer.co/venue/modern-loft-and-gallery-in-new-york-city,Modern Loft and Gallery in New York CityNew York | ManhattanStarting From$250per hour,Shannen,New York | Manhattan,,19
https://www.splacer.co/venue/spacious-brownstone,Spacious BrownstoneNew York | Lower ManhattanStarting From$200per hour,Stephen,New York | Lower Manhattan,,17
https://www.splacer.co/venue/beautiful-event-space-in-greenpoint,Beautiful Event Space in Greenpoint!New York | GreenpointStarting From$150per hour,Yumi,New York | Greenpoint,,6
https://www.splacer.co/venue/rustic-grand-dining-room,Rustic Grand Dining RoomNew York | Lower ManhattanStarting From$300per hour,Alex,New York | Lower Manhattan,,3
https://www.splacer.co/venue/unique-vintage-loft-with-roof-deck,Unique Vintage Loft with Roof DeckNew York | WilliamsburgStarting From$180per hour,Justin,New York | Williamsburg,,22
https://www.splacer.co/venue/a-little-palace-in-brooklyn,A Little Palace in BrooklynNew York | BushwickStarting From$200per hour,Brittany,New York | Bushwick,,13
https://www.splacer.co/venue/beautiful-e-williamsburg-bar-event-space,Beautiful E. Williamsburg bar event spaceNew York | WilliamsburgStarting From$75per hour,Mike,New York | Williamsburg,,11
https://www.splacer.co/venue/bright-beautiful-flexible-kitchen-studio,"Bright, Beautiful, Flexible Kitchen StudioNew York | Sunset ParkStarting From$150per hour",Ronna,New York | Sunset Park,,6
https://www.splacer.co/venue/former-foundry-with-old-world-charm,Former Foundry with Old World CharmNew York | MidtownStarting From$350per hour,clara,New York | Midtown,,6
https://www.splacer.co/venue/gorgeous-gallery-event-space-on-uws,Gorgeous Gallery Event Space on UWSNew York | Upper West SideStarting From$160per hour,Karina,New York | Upper West Side,,4
https://www.splacer.co/venue/a-b-production-event-studio,A&B production/Event StudioNew York | ManhattanStarting From$85per hour,Anna,New York | Manhattan,,4
https://www.splacer.co/venue/rustic-corner-bar-in-clinton-hill,Rustic Corner Bar in Clinton HillNew York | Clinton HillStarting From$100per hour,Chris,New York | Clinton Hill,,3
https://www.splacer.co/venue/studio-510-1-000sf,"Studio 510 - 1,000sfNew York | GreenpointStarting From$100per hour",Rebecca,New York | Greenpoint,,2
https://www.splacer.co/venue/sunlit-loft-space-with-tin-ceiling,Sunlit loft space with tin ceilingNew York | ManhattanStarting From$400per hour,Travis,New York | Manhattan,,2
https://www.splacer.co/venue/photo-studio-for-photo-video-events,"Photo Studio for Photo, Video, Events!New York | ManhattanStarting From$150per hour",DAVID,New York | Manhattan,,2
https://www.splacer.co/venue/best-kept-secret-affordable-rates,Best Kept Secret - Affordable Rates! New York | GreenpointStarting From$225per hour,Space,New York | Greenpoint,,1
https://www.splacer.co/venue/botanical-speakeasy-and-bar,Botanical Speakeasy and BarNew York | ManhattanStarting From$400per hour,Monica,New York | Manhattan,,1
https://www.splacer.co/venue/luminous-midtown-atrium-penthouse-spa,Luminous Midtown Atrium Penthouse SpaNew York | ManhattanStarting From$100per hour,Joel,New York | Manhattan,,1
https://www.splacer.co/venue/chelsea-loft-grand-piano-highline-view,Chelsea Loft Grand Piano Highline ViewNew York | ManhattanStarting From$200per hour,Stella,New York | Manhattan,,0
https://www.splacer.co/venue/ila-penthouse,ILA PenthouseNew York | ManhattanStarting From$600per hour,Calvert,New York | Manhattan,,0
https://www.splacer.co/venue/use-here-a-clean-open-box-in-bed-stuy,Use HERE- A Clean Open Box in Bed-StuyNew York | Bedford-StuyvesantStarting From$100per hour,Shaun,New York | Bedford-Stuyvesant,,0
https://www.splacer.co/venue/townhouse-in-east-village-with-huge-patio,Townhouse in East Village with Huge PatioNew York | Lower ManhattanStarting From$245per hour,Alex,New York | Lower Manhattan,,30
https://www.splacer.co/venue/the-greenpointer-brooklyn-brownstone,the 'GREENPOINTER'  Brooklyn BrownstoneNew York | GreenpointStarting From$380per hour,David,New York | Greenpoint,,19
https://www.splacer.co/venue/moroccan-inspired-renovated-warehouse,Moroccan - Inspired Renovated WarehouseNew York | Red HookStarting From$95per hour,Reuben,New York | Red Hook,,16
https://www.splacer.co/venue/fully-equipped-bright-photo-studio-in-bk,Fully Equipped Bright Photo Studio in BKNew York | GowanusStarting From$55per hour,Sanja,New York | Gowanus,,12
https://www.splacer.co/venue/glasshaus-huge-home-with-garden-studio,GLASSHAUS: Huge Home with Garden & StudioNew York | GreenpointStarting From$250per hour,Jarrett,New York | Greenpoint,,12
https://www.splacer.co/venue/lower-east-side-loft-for-events,Lower East Side Loft for eventsNew York | ManhattanStarting From$100per hour,Kristina,New York | Manhattan,,10
https://www.splacer.co/venue/chinatown-designer-s-loft,Chinatown Designer's LoftNew York | Lower East SideStarting From$115per hour,Jenni,New York | Lower East Side,,9
https://www.splacer.co/venue/flatiron-loft-with-beautiful-kitchens,Flatiron loft with beautiful kitchens!New York | ManhattanStarting From$500per hour,Travis,New York | Manhattan,,9
https://www.splacer.co/venue/sun-soaked-classic-brooklyn-townhouse,Sun Soaked Classic Brooklyn TownhouseNew York | BushwickStarting From$300per hour,Gina,New York | Bushwick,,8
https://www.splacer.co/venue/a-legendary-rock-palace,A legendary rock palace!Port Chester | RyeStarting From$1000per hour,Emily,Port Chester | Rye,,0
https://www.splacer.co/venue/beautiful-space-and-views-hudson-valley,Beautiful Space and Views - Hudson Valley GardinerStarting From$500per hour,Liz,Gardiner,,0
https://www.splacer.co/venue/spacious-modern-cocktail-tasting-room,"Spacious, Modern Cocktail Tasting Room New York | East WilliamsburgStarting From$250per hour",Roxane,New York | East Williamsburg,,0
https://www.splacer.co/venue/midtown-cyclorama-studio,Midtown Cyclorama StudioNew York | MidtownStarting From$100per hour,James,New York | Midtown,,8
https://www.splacer.co/venue/soho-fully-equipped-spacious-photo-studio,SoHo Fully Equipped Spacious Photo StudioNew York | Lower ManhattanStarting From$96per hour,Arzu,New York | Lower Manhattan,,7
