Listing URL,Location name,Host name,Address,Phone number,Reviews count,Website
https://venues.tripleseat.com/venues/rockaway-beach-/bar-marseille,Bar Marseille,,190 Beach 69th St Rockaway Beach  NY 11692, (718) 513-2474,,http://www.barmarseille.com/
https://venues.tripleseat.com/venues/washington-dc/mi-vida-restaurante,,,98 District Square SW Washington DC MD 20024,None,,
https://venues.tripleseat.com/venues/paducah/logan-s-roadhouse-paducah,,,,270-442-1939,,http://www.logansroadhouse.com/
https://venues.tripleseat.com/venues/new-york/thalassa-restaurant,,,,212-941-7661,,http://www.thalassanyc.com/
https://venues.tripleseat.com/venues/amarillo/logan-s-roadhouse-amarillo,,,,806-467-8015,,http://www.logansroadhouse.com/
https://venues.tripleseat.com/venues/gallatin/logan-s-roadhouse-gallatin,,,,615-206-9393,,http://www.logansroadhouse.com/
https://venues.tripleseat.com/venues/las-vegas/cut-the-palazzo-resort-and-casino,,,,702-369-0558,,
https://venues.tripleseat.com/venues/florence/logan-s-roadhouse-florence,,,,256-764-5011,,http://www.logansroadhouse.com/
https://venues.tripleseat.com/venues/coral-gables/crave-coral-gables,107 - CRAVE Coral Gables CLOSED,,4250 Salzedo Street Suite 1425 Coral Gables FL 33146,305.772.5761,,http://www.craveamerica.com/
https://venues.tripleseat.com/venues/omaha/crave-omaha,105 - CRAVE Omaha,,200 S 31st Avenue #4103 Omaha NE 68131,402.871.3989,,http://craveamerica.com/
https://venues.tripleseat.com/venues/cincinnati/crave-cincinnati,108 - CRAVE Cincinnati,,The Banks 175 Joe Nuxhall Way Cincinnati OH 45202,513 241 5600,,http://www.craveamerica.com/
https://venues.tripleseat.com/venues/ft-lauderdale/yolo,YOLO,,333 East Las Olas Blvd. Ft. Lauderdale FL 33301,954-525-9001,,
https://venues.tripleseat.com/venues/raleigh/nc-museum-of-art-1,NC Museum of Art,,2110 Blue Ridge Road Raleigh NC 27607,919-664-6839,,
https://venues.tripleseat.com/venues/new-york/stk-downtown,STK - Downtown,,26 Little West 12th Street New York NY 10014,833-785-3887,,
https://venues.tripleseat.com/venues/new-york/ava-lounge,AVA Lounge,,210 W 55th New York NY 10019,None,,http://www.monarchrooftop.com/
https://venues.tripleseat.com/venues/chicago/cafe-ba-ba-reeba,Cafe ba ba Reeba!,,2024 N Halsted Ave. Chicago IL 60614,773-935-5000,,
https://venues.tripleseat.com/venues/chicago/mon-ami-gabi-in-chicago,Mon Ami Gabi in Chicago,,2300 N. Lincoln Park West  Chicago IL 60614,773-348-8886,,
https://venues.tripleseat.com/venues/las-vegas/hexxlasvegas,HEXX kitchen + bar | Alexxa's Bar,,3655 Las Vegas Blvd South Las Vegas NV 89109,702-577-1814,,
https://venues.tripleseat.com/venues/atlanta/stk-atlanta,STK - Atlanta,,1075 Peachtree Street NE Atlanta GA 30309,833-785-3887,,
https://venues.tripleseat.com/venues/prescott-valley/prescott-club-at-stoneridge,Prescott Club at Stoneridge,,1601 N Bluff Top Drive  Prescott Valley AZ 86314,928-775-9140,,
https://venues.tripleseat.com/venues/new-york/the-collective,STK Rooftop,,26 Little West 12th Street New York NY 10014,833-785-3887,,
https://venues.tripleseat.com/venues/hillsboro/scholls-valley-lodge,Scholls Valley Lodge,,12840 SW River Road Hillsboro OR 97123,503-628-3130,,
https://venues.tripleseat.com/venues/washington/hill-country-barbecue-market-dc,Hill Country Barbecue Market DC,,410 7th St NW Washington DC 20004,(202) 556-2050,,
https://venues.tripleseat.com/venues/portland/grace,Grace,,15 Chestnut Steet Portland ME 04101,207-828-4423,,
https://venues.tripleseat.com/venues/albany/merry-acres-inn,Merry Acres Event Center,,1504 Dawson Road Albany GA 31707,229.432.6092,,
